"Date","Price","Open","High","Low","Vol.","Change %"
"28/01/2021","137.25","137.16","137.19","137.04","2.18M","-0.20%"
"27/01/2021","137.53","137.38","137.64","137.28","1.67M","0.11%"
"26/01/2021","137.38","137.42","137.45","137.27","1.12M","0.00%"
"25/01/2021","137.38","137.03","137.45","136.94","1.40M","0.26%"
"22/01/2021","137.03","136.88","137.08","136.81","1.29M","0.10%"
"21/01/2021","136.89","137.00","137.06","136.73","1.36M","-0.06%"
"20/01/2021","136.97","136.95","137.06","136.80","1.26M","0.02%"
"19/01/2021","136.94","136.92","136.98","136.66","1.50M","0.07%"
"18/01/2021","136.84","136.93","136.98","136.84","","-0.07%"
"17/01/2021","136.94","136.93","136.98","136.91","","0.06%"
"15/01/2021","136.86","136.53","136.95","136.52","1.39M","0.22%"
"14/01/2021","136.56","136.80","136.88","136.50","1.70M","-0.15%"
"13/01/2021","136.77","136.42","136.86","136.38","1.88M","0.28%"
"12/01/2021","136.39","136.31","136.45","136.03","2.10M","-0.02%"
"11/01/2021","136.42","136.56","136.75","136.30","1.55M","-0.18%"
"08/01/2021","136.66","136.88","136.92","136.52","2.39M","-0.21%"
"07/01/2021","136.95","137.23","137.30","136.84","1.72M","-0.18%"
"06/01/2021","137.20","137.83","137.92","137.09","2.67M","-0.46%"
"05/01/2021","137.84","138.16","138.16","137.78","1.32M","-0.20%"
"04/01/2021","138.12","137.97","138.17","137.81","1.32M","0.07%"
"01/01/2021","138.03","138.03","138.03","138.03","","-0.04%"
"31/12/2020","138.08","137.97","138.11","137.89","852.09K","0.08%"
"30/12/2020","137.97","137.89","137.98","137.75","741.74K","0.04%"
"29/12/2020","137.92","137.97","137.97","137.80","775.27K","0.00%"
"28/12/2020","137.92","137.92","137.98","137.67","610.23K","0.03%"
"24/12/2020","137.88","137.80","137.94","137.73","256.47K","0.08%"
"23/12/2020","137.77","137.98","138.09","137.62","1.09M","-0.15%"
"22/12/2020","137.98","137.80","138.00","137.77","795.13K","-0.31%"
"21/12/2020","138.41","138.66","138.70","138.33","11.23K","0.15%"
"18/12/2020","138.20","138.36","138.39","138.19","4.87K","-0.07%"
"17/12/2020","138.30","138.30","138.53","138.20","1.97K","-0.02%"
"16/12/2020","138.33","138.42","138.42","138.11","1.54K","0.02%"
"15/12/2020","138.30","138.48","138.58","138.27","7.78K","-0.14%"
"14/12/2020","138.50","138.36","138.52","138.17","9.40K","0.00%"
"11/12/2020","138.50","138.30","138.59","138.28","2.02K","0.14%"
"10/12/2020","138.31","138.12","138.30","138.09","4.24K","0.19%"
"09/12/2020","138.05","138.12","138.16","137.95","3.74K","-0.12%"
"08/12/2020","138.22","138.19","138.39","138.08","8.64K","0.06%"
"07/12/2020","138.14","137.81","138.17","137.80","9.95K","0.24%"
"04/12/2020","137.81","138.14","138.20","137.69","11.15K","-0.20%"
"03/12/2020","138.08","137.95","138.20","137.86","24.03K","0.17%"
"02/12/2020","137.84","137.98","138.05","137.70","53.78K","0.00%"
"01/12/2020","137.84","138.53","138.59","137.83","79.79K","-0.50%"
"30/11/2020","138.53","138.53","138.62","138.42","117.39K","-0.01%"
"27/11/2020","138.55","138.25","138.55","138.23","447.97K","0.07%"
